,Years,Ratio_Women_to_TotalContributers
0,1959,0.0
1,1960,0.0
2,1961,0.0
3,1962,0.0
4,1963,0.0
5,1964,0.021276595744680854
6,1965,0.011627906976744188
7,1966,0.021276595744680854
8,1967,0.009900990099009901
9,1968,0.008695652173913042
10,1969,0.00819672131147541
11,1970,0.02654867256637168
12,1971,0.05084745762711865
13,1972,0.026315789473684213
14,1973,0.04433497536945813
15,1974,0.030927835051546396
16,1975,0.04790419161676646
17,1976,0.02950819672131148
18,1977,0.06277056277056278
19,1978,0.07065217391304347
20,1979,0.0440771349862259
21,1980,0.055900621118012424
22,1981,0.05191873589164785
23,1982,0.09546925566343042
24,1983,0.07037037037037037
25,1984,0.08139534883720931
26,1985,0.10333863275039747
27,1986,0.11251980982567354
28,1987,0.09387755102040816
29,1988,0.10456553755522828
30,1989,0.1318181818181818
31,1990,0.09698275862068965
32,1991,0.09515859766277128
33,1992,0.1034201954397394
34,1993,0.09795918367346937
35,1994,0.12313937753721245
36,1995,0.12605042016806722
37,1996,0.12216494845360824
38,1997,0.13085539714867617
39,1998,0.12463450292397663
40,1999,0.117157712305026
41,2000,0.12931965442764579
42,2001,0.1441105505593332
43,2002,0.13758132414848834
44,2003,0.14636224228999828
45,2004,0.14830583643782153
46,2005,0.15342019543973942
47,2006,0.16902255639097744
48,2007,0.1629874421678784
49,2008,0.17084482326397593
50,2009,0.1788810086682427
51,2010,0.17927302670274087
52,2011,0.18490759753593428
53,2012,0.18319587628865977
54,2013,0.18496997869455745
55,2014,0.19275258470672538
56,2015,0.19549574806092887
57,2016,0.19802265310040312
58,2017,0.2108626198083067
59,2018,0.2072513473787359
60,2019,0.2128622469233823
61,2020,0.2213843052340775
62,2021,0.23121840062664673
63,2022,0.2202896138482024
64,2023,0.21619047619047616
65,2024,0.22856147003458727
66,2025,0.23225537439469157
67,2026,0.23594927875479588
68,2027,0.23964318311490018
69,2028,0.2433370874750045
70,2029,0.2470309918351088
71,2030,0.2507248961952131
72,2031,0.2544188005553183
73,2032,0.2581127049154226
74,2033,0.2618066092755269
75,2034,0.2655005136356312
76,2035,0.2691944179957355
77,2036,0.2728883223558398
78,2037,0.2765822267159441
79,2038,0.28027613107604843
80,2039,0.28397003543615273
81,2040,0.28766393979625704
82,2041,0.29135784415636135
83,2042,0.29505174851646565
84,2043,0.29874565287657084
85,2044,0.30243955723667515
86,2045,0.30613346159677945
87,2046,0.30982736595688376
88,2047,0.31352127031698807
89,2048,0.31721517467709237
90,2049,0.3209090790371967
91,2050,0.324602983397301
92,2051,0.3282968877574053
93,2052,0.3319907921175096
94,2053,0.3356846964776139
95,2054,0.3393786008377191
96,2055,0.3430725051978234
97,2056,0.3467664095579277
98,2057,0.350460313918032
99,2058,0.3541542182781363
100,2059,0.3578481226382406
101,2060,0.3615420269983449
102,2061,0.36523593135844923
103,2062,0.36892983571855353
104,2063,0.37262374007865784
105,2064,0.37631764443876214
106,2065,0.38001154879886645
107,2066,0.38370545315897164
108,2067,0.38739935751907595
109,2068,0.39109326187918025
110,2069,0.39478716623928456
111,2070,0.39848107059938886
112,2071,0.40217497495949317
113,2072,0.4058688793195975
114,2073,0.4095627836797018
115,2074,0.4132566880398061
116,2075,0.4169505923999104
117,2076,0.4206444967600147
118,2077,0.4243384011201199
119,2078,0.4280323054802242
120,2079,0.4317262098403285
121,2080,0.4354201142004328
122,2081,0.4391140185605371
123,2082,0.4428079229206414
124,2083,0.4465018272807457
125,2084,0.45019573164085
126,2085,0.45388963600095433
127,2086,0.45758354036105864
128,2087,0.46127744472116294
129,2088,0.46497134908126725
130,2089,0.46866525344137244
131,2090,0.47235915780147675
132,2091,0.47605306216158105
133,2092,0.47974696652168536
134,2093,0.48344087088178966
135,2094,0.48713477524189397
136,2095,0.4908286796019983
137,2096,0.4945225839621026
138,2097,0.4982164883222069
139,2098,0.5019103926823112
140,2099,0.5056042970424155
141,2100,0.5092982014025198
142,2101,0.512992105762625
143,2102,0.5166860101227293
144,2103,0.5203799144828336
145,2104,0.5240738188429379
146,2105,0.5277677232030422
147,2106,0.5314616275631465
148,2107,0.5351555319232508
149,2108,0.5388494362833551
150,2109,0.5425433406434594
151,2110,0.5462372450035637
152,2111,0.549931149363668
153,2112,0.5536250537237732
154,2113,0.5573189580838775
155,2114,0.5610128624439819
156,2115,0.5647067668040862
157,2116,0.5684006711641905
158,2117,0.5720945755242948
159,2118,0.5757884798843991
160,2119,0.5794823842445034
161,2120,0.5831762886046077
162,2121,0.586870192964712
163,2122,0.5905640973248163
164,2123,0.5942580016849206
165,2124,0.5979519060450258
166,2125,0.6016458104051301
167,2126,0.6053397147652344
168,2127,0.6090336191253387
169,2128,0.612727523485443
170,2129,0.6164214278455473
171,2130,0.6201153322056516
172,2131,0.6238092365657559
173,2132,0.6275031409258602
174,2133,0.6311970452859645
175,2134,0.6348909496460688
176,2135,0.638584854006174
177,2136,0.6422787583662783
178,2137,0.6459726627263827
179,2138,0.649666567086487
180,2139,0.6533604714465913
181,2140,0.6570543758066956
182,2141,0.6607482801667999
183,2142,0.6644421845269042
184,2143,0.6681360888870085
185,2144,0.6718299932471128
186,2145,0.6755238976072171
187,2146,0.6792178019673214
188,2147,0.6829117063274266
189,2148,0.6866056106875309
190,2149,0.6902995150476352
191,2150,0.6939934194077395
192,2151,0.6976873237678438
193,2152,0.7013812281279481
194,2153,0.7050751324880524
195,2154,0.7087690368481567
196,2155,0.712462941208261
197,2156,0.7161568455683653
198,2157,0.7198507499284696
199,2158,0.7235446542885748
200,2159,0.7272385586486791
201,2160,0.7309324630087835
202,2161,0.7346263673688878
203,2162,0.7383202717289921
204,2163,0.7420141760890964
205,2164,0.7457080804492007
206,2165,0.749401984809305
207,2166,0.7530958891694102
208,2167,0.7567897935295136
209,2168,0.7604836978896188
210,2169,0.7641776022497222
211,2170,0.7678715066098274
212,2171,0.7715654109699308
213,2172,0.775259315330036
214,2173,0.7789532196901394
215,2174,0.7826471240502446
216,2175,0.786341028410348
217,2176,0.7900349327704532
218,2177,0.7937288371305584
219,2178,0.7974227414906618
220,2179,0.801116645850767
221,2180,0.8048105502108704
222,2181,0.8085044545709756
223,2182,0.8121983589310791
224,2183,0.8158922632911842
225,2184,0.8195861676512877
226,2185,0.8232800720113929
227,2186,0.8269739763714963
228,2187,0.8306678807316015
229,2188,0.8343617850917067
230,2189,0.8380556894518101
231,2190,0.8417495938119153
232,2191,0.8454434981720187
233,2192,0.8491374025321239
234,2193,0.8528313068922273
235,2194,0.8565252112523325
236,2195,0.8602191156124359
237,2196,0.8639130199725411
238,2197,0.8676069243326445
239,2198,0.8713008286927497
240,2199,0.8749947330528549
